sequence,level,property_type,identifier,class_term,property_term,multiplicity,representation_term,domain_name,associated_class,definition,module,table,id
521,2,Reference Association,,Inventory Transaction,,0..1,,,Sales Order Line,"The class that represents a single item within a sales order, distinguishing among various items and their respective quantities within that order.",Inventory,129,IV09_36
522,2,Reference Association,,Inventory Transaction,,0..1,,,Supplier,The class containing essential information about supplier.,Inventory,129,IV09_37
440,1,Class,,Inventory Physical,,,,,,"A class records the quantities on hand as of the date of a physical inventory count, along with corresponding flow information.",Inventory,131,IV05
441,2,Attribute,PK,Inventory Physical,Count Sheet ID,1..1,Identifier,Identifier Medium,,The primary unique identifier for the count sheet.,Inventory,131,IV05_01
442,2,Attribute,,Inventory Physical,Count Sheet Number,0..1,Char,Char Long,,The reference number of the inventory count sheet that is the basis for the inventory count.,Inventory,131,IV05_02
443,2,Attribute,PK,Inventory Physical,Count Sheet Line ID,1..1,Identifier,Identifier Medium,,"The secondary unique identifier that works in conjunction with the Inventory Count Sheet Line ID to specify individual lines of a inventory count sheet, providing granularity and detail for each item within a document.",Inventory,131,IV05_03
444,2,Attribute,,Inventory Physical,Count Sheet Line Number,0..1,Char,Char Short,,The line sequence in the inventory count sheet that relates to the inventory count.,Inventory,131,IV05_04
445,2,Attribute,,Inventory Physical,Lot Number,0..1,Char,Char Medium,,The number for a batch of products for tracking and inventory management purposes.,Inventory,131,IV05_05
446,2,Attribute,,Inventory Physical,Serial Number,0..1,Char,Char Medium,,"The number for an individual item within a group of products, used for tracking and inventory management.",Inventory,131,IV05_06
447,2,Attribute,,Inventory Physical,Bin ID,0..1,Char,Char Short,,The identifier for the specific sub-location within inventory storage.,Inventory,131,IV05_07
448,2,Attribute,,Inventory Physical,Count Date,0..1,Date,DATE,,The date on which an inventory item is counted.,Inventory,131,IV05_08
449,2,Attribute,,Inventory Physical,Comment,0..1,Text,Text Medium,,"The comments section includes notes about the inventory count, variances, or any other relevant details observed during the inventory count process.",Inventory,131,IV05_09
450,2,Composition,,Inventory Physical,,0..1,,,Activities,"The class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Inventory,131,IV05_10
451,2,Composition,,Inventory Physical,Physical Count,0..1,,,Quantity,"The quantity of inventory on hand as determined during the most recent physical count, especially when multiple counts are conducted, expressed in the Basic Unit of Measure Code.",Inventory,131,IV05_11
452,2,Composition,,Inventory Physical,System,0..1,,,Quantity,"The actual quantity of inventory on hand resulting from the physical count, expressed in the Basic Unit of Measure Code as of the count date.",Inventory,131,IV05_12
453,2,Reference Association,,Inventory Physical,,0..*,,,Business Segment,The class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Inventory,131,IV05_13
454,2,Reference Association,,Inventory Physical,Inventory Organization,0..1,,,Business Segment,The class concerning the organization that handles the inventory management.,Inventory,131,IV05_14
455,2,Reference Association,,Inventory Physical,,0..1,,,Inventory Location,The physical location of the inventory item.,Inventory,131,IV05_15
456,2,Reference Association,,Inventory Physical,,0..1,,,Inventory Product,The specific product tallied during the physical inventory count.,Inventory,131,IV05_16
457,2,Reference Association,,Inventory Physical,Stocking,0..1,,,Measurement Unit,The unit of measure for the quantity of an inventory product utilized in stock management.,Inventory,131,IV05_17
422,1,Class,,Inventory Period Balance,,,,,,A class represents a specific period within a fiscal year delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.,Inventory,133,IV04
423,2,Attribute,,Inventory Period Balance,Lot Number,0..1,Char,Char Medium,,The number for a batch of products for tracking and inventory management purposes.,Inventory,133,IV04_01
424,2,Composition,,Inventory Period Balance,Beginning Balance,0..1,,,Amount,The class signifies the value of inventory at the start of the accounting period.,Inventory,133,IV04_02
425,2,Composition,,Inventory Period Balance,Credit,0..1,,,Amount,The class signifies the total value of incoming inventory transactions during the current period.,Inventory,133,IV04_03
426,2,Composition,,Inventory Period Balance,Debit,0..1,,,Amount,The class signifies the total value of outgoing inventory transactions during the current period.,Inventory,133,IV04_04
427,2,Composition,,Inventory Period Balance,Ending Balance,0..1,,,Amount,The class signifies the concluding value of inventory at the close of the accounting period.,Inventory,133,IV04_05
428,2,Composition,,Inventory Period Balance,Beginning,0..1,,,Quantity,"The class signifies the initial quantity of inventory, counted in the Basic Unit of Measure Code, at the onset of the accounting period.",Inventory,133,IV04_06
429,2,Composition,,Inventory Period Balance,Dispatched,0..1,,,Quantity,"The class signifies the total quantity of outgoing inventory transaction counted in the Basic Unit of Measure Code, during the current period.",Inventory,133,IV04_07
430,2,Composition,,Inventory Period Balance,Ending,0..1,,,Quantity,"The class signifies the concluding quantity of inventory, counted in the Basic Unit of Measure Code, at the close of the accounting period.",Inventory,133,IV04_08
431,2,Composition,,Inventory Period Balance,Received,0..1,,,Quantity,"The class signifies the total quantity of incoming inventory transactions counted in the Basic Unit of Measure Code, during the current period.",Inventory,133,IV04_09
432,2,Reference Association,,Inventory Period Balance,,0..1,,,Accounting Period,The class represents the specific period within a fiscal year delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.,Inventory,133,IV04_10
433,2,Reference Association,,Inventory Period Balance,,0..*,,,Business Segment,The class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Inventory,133,IV04_11
434,2,Reference Association,,Inventory Period Balance,Cost Organization,0..1,,,Business Segment,The class concerning the organization that handles the inventory cost management.,Inventory,133,IV04_12
435,2,Reference Association,,Inventory Period Balance,Inventory Organization,0..1,,,Business Segment,Inventory Organization,Inventory,133,IV04_13
436,2,Reference Association,PK,Inventory Period Balance,,1..1,,,Inventory Location,"The physical location of the inventory item, forming part of its unique identifier.",Inventory,133,IV04_14
437,2,Reference Association,PK,Inventory Period Balance,,1..1,,,Inventory Product,"The particular product item counted in a physical inventory, forming part of its unique identifier.",Inventory,133,IV04_15
438,2,Reference Association,,Inventory Period Balance,Costing,0..1,,,Measurement Unit,The unit of measure used for quantifying an inventory product used in cost management.,Inventory,133,IV04_16
439,2,Reference Association,,Inventory Period Balance,Stocking,0..1,,,Measurement Unit,The unit of measure for the quantity of an inventory product utilized in stock management.,Inventory,133,IV04_17
724,1,Class,,PPE Type,,,,,,A class contains the details of each type of Property Plant Equipment (PPE).,Property Plant Equipment,136,PE08
725,2,Attribute,PK,PPE Type,ID,1..1,Identifier,Identifier Medium,,"The unique identifier employed to designate the specific type of property, plant, and equipment (PPE) item.",Property Plant Equipment,136,PE08_01
726,2,Attribute,,PPE Type,Name,0..1,Name,Name Medium,,The name of the type categorized by the attributes of the PPE.,Property Plant Equipment,136,PE08_02
727,1,Class,,PPE Type Hierarchy,,,,,,A class outlines the structure and relationships of different PPE types.,Property Plant Equipment,136,PE09
728,2,Reference Association,PK,PPE Type Hierarchy,Child,1..1,,,PPE Type,The specific category of PPE type that is classified at a subordinate level within a PPE type hierarchy.,Property Plant Equipment,136,PE09_01
729,2,Reference Association,PK,PPE Type Hierarchy,Parent,1..1,,,PPE Type,The specific category of  PPE type that is classified at a superior level within a PPE type hierarchy.,Property Plant Equipment,136,PE09_02
665,1,Class,,PPE Master,,,,,,"A central repository that comprehensively catalogs each item of property, plant, and equipment (PPE).",Property Plant Equipment,138,PE06
666,2,Attribute,PK,PPE Master,ID,1..1,Identifier,Identifier Long,,"The unique identifier assigned to each property, plant, and equipment (PPE) item.",Property Plant Equipment,138,PE06_01
667,2,Attribute,,PPE Master,Code,0..1,Char,Char Medium,,"The internal identifier assigned within the organization's system to distinguish and identify different property, plant, and equipment (PPE) items for internal management and tracking purposes at the local level.",Property Plant Equipment,138,PE06_02
