seq,level,Property type,Identifier,Class,Property Term,BaseType,Associated Class,Multiplicity,Documentation,module,LocalLabel,LocalDocumentation
607,1,Class,,Summary Context_ Entity_ Segment,,,,0..1,This class allows to explicitly indicate the information related to the segment in the context for a fact in the FR instance.,lnk,【集約エンティティセグメント】,集約のエンティティセグメントの記述の指定場所。
608,2,Composition,,Summary Context_ Entity_ Segment,,,Summary Context_ Entity_ Segment_ Explicit Dimension,0..*,This class allows to explicitly indicate the information related to an explicit dimension in the segment of the context for a fact in the FR instance.,lnk,【集約セグメントエクスプリシットディメンション】,集約セグメントのエクスプリシットディメンションの記述の指定場所。
609,2,Composition,,Summary Context_ Entity_ Segment,,,Summary Context_ Entity_ Segment_ Typed Dimension,0..*,This class allows to explicitly indicate the information related to a typed dimension in the segment of the context for a fact in the FR instance.,lnk,【集約セグメントタイプトディメンション】,集約セグメントのタイプトディメンションの記述の指定場所。
610,2,Composition,,Summary Context_ Entity_ Segment,,,Summary Context_ Entity_ Segment_ Simple Element Content,0..*,This class allows to explicitly indicate the information related to a simple element in the segment of  the context for a fact in the FR instance.,lnk,【集約セグメントシンプルエレメントコンテント】,セグメントの単一要素を表現するためのクラス。
611,2,Attribute,,Summary Context_ Entity_ Segment,Summary Context_ Segment Non Dimensional Contents,String,,0..*,The value must be CDATA and a valid XML fragment.,lnk,集約セグメント非ディメンションコンテント,CDATAであり、妥当なXML記述でなければならない。
612,1,Class,,Summary Context_ Period (choice),,,,0..1,"This class allows to explicitly indicate the period information for a fact in the FR instance. Instant, Period Start/End and Forever are alternative.",lnk,【集約ピリオド】,集約のピリオドの記述の指定場所。
613,2,Attribute,,Summary Context_ Period (choice),Summary Context_ Period Instant,Date Time,,1..1,The value of the instant date.,lnk,集約ピリオドインスタント,集約のピリオドの特定の日付の記述の指定場所。
614,2,Attribute,,Summary Context_ Period (choice),Summary Context_ Period Forever,String,,1..1,"If the context should indicate ""forever"", this concept must be used. It accepts no value.",lnk,集約ピリオド無期限,集約のピリオドが無期限であることを示す指定場所。
615,2,Attribute,,Summary Context_ Period (choice),Summary Context_ Period Start Date (sequence),Date Time,,1..1,The value of the start date of the period.,lnk,集約ピリオド開始日付,集約のピリオドの開始日の記述の指定場所。
616,2,Attribute,,Summary Context_ Period (choice),Summary Context_ Period End Date (sequence),Date Time,,1..1,The value of the end date of the period.,lnk,集約ピリオド終了日付,集約のピリオドの終了日の記述の指定場所。
617,1,Class,,Summary Context_ Scenario_ Explicit Dimension,,,,0..*,This class allows to explicitly indicate the information related to an explicit dimension in the scenario of the context for a fact in the FR instance.,lnk,【集約シナリオエクスプリシットディメンション】,集約シナリオのエクスプリシットディメンションの記述の指定場所。
618,2,Attribute,,Summary Context_ Scenario_ Explicit Dimension,Summary Context_ Scenario_ Explicit Dimension Element,QName,,1..1,The QName value must be resolved to a valid explicit dimension item used in scenario.,lnk,集約シナリオエクスプリシットディメンション,シナリオで利用されるQNameの値は妥当なエクプリシットディメンション項目を示さなければならない。
619,1,Class,,Summary Context_ Scenario_ Typed Dimension,,,,0..*,This class allows to explicitly indicate the information related to a typed dimension in the scenario of the context for a fact in the FR instance.,lnk,【集約シナリオタイプトディメンション】,集約シナリオのタイプトディメンションの記述の指定場所。
620,2,Attribute,,Summary Context_ Scenario_ Typed Dimension,Summary Context_ Scenario_ Typed Dimension Element,QName,,1..1,The QName value must be resolved to a valid typed dimension item used in scenario.,lnk,集約シナリオタイプトディメンション,シナリオで利用されるQNameの値は妥当なタイプトディメンション項目を示さなければならない。
621,1,Class,,Summary Context_ Scenario_ Simple Element Content,,,,0..*,This class allows to explicitly indicate the information related to a simple element in the scenario of the context for a fact in the FR instance.,lnk,【集約シナリオシンプルエレメントコンテント】,シナリオの単一要素を表現するためのクラス。
622,2,Attribute,,Summary Context_ Scenario_ Simple Element Content,Summary Context_ Scenario_ Simple Element,QName,,1..1,"QName for the scenario simple element, if appropriate.",lnk,集約シナリオシンプルエレメント名,集約シナリオシンプルエレメントの記述のQName
623,2,Attribute,,Summary Context_ Scenario_ Simple Element Content,Summary Context_ Scenario_ Simple Element Value,String,,1..1,The value of the scenario simple element content.,lnk,集約シナリオシンプルエレメント値,集約シナリオシンプルエレメントの値。
624,1,Class,,Summary Context_ Scenario,,,,0..1,This class allows to explicitly indicate the scenario information for a fact in the FR instance.,lnk,【集約シナリオ】,集約のシナリオの記述の指定場所。
625,2,Composition,,Summary Context_ Scenario,,,Summary Context_ Scenario_ Explicit Dimension,0..*,This class allows to explicitly indicate the information related to an explicit dimension in the scenario of the context for a fact in the FR instance.,lnk,【集約シナリオエクスプリシットディメンション】,集約シナリオのエクスプリシットディメンションの記述の指定場所。
626,2,Composition,,Summary Context_ Scenario,,,Summary Context_ Scenario_ Typed Dimension,0..*,This class allows to explicitly indicate the information related to a typed dimension in the scenario of the context for a fact in the FR instance.,lnk,【集約シナリオタイプトディメンション】,集約シナリオのタイプトディメンションの記述の指定場所。
627,2,Composition,,Summary Context_ Scenario,,,Summary Context_ Scenario_ Simple Element Content,0..*,This class allows to explicitly indicate the information related to a simple element in the scenario of the context for a fact in the FR instance.,lnk,【集約シナリオシンプルエレメントコンテント】,シナリオの単一要素を表現するためのクラス。
628,2,Attribute,,Summary Context_ Scenario,Summary Context_ Scenaio Non Dimensional Contents,String,,0..*,The value must be CDATA and a valid XML fragment.,lnk,集約シナリオ非ディメンションコンテント,CDATAであり、妥当なXML記述でなければならない。
629,1,Class,,Summary Context,,,,0..1,This class allows to explicitly indicate the context information for a fact in the FR instance.,lnk,【集約コンテキスト】,集約のコンテキストの記述の指定場所。
630,2,Composition,,Summary Context,,,Summary Context_ Entity,0..1,This class allows to explicitly indicate the entity information for a fact in the FR instance.,lnk,【集約エンティティ】,集約のエンティティの記述の指定場所。
631,2,Composition,,Summary Context,,,Summary Context_ Period (choice),0..1,"This class allows to explicitly indicate the period information for a fact in the FR instance. Instant, Period Start/End and Forever are alternative.",lnk,【集約ピリオド】,集約のピリオドの記述の指定場所。
632,2,Composition,,Summary Context,,,Summary Context_ Scenario,0..1,This class allows to explicitly indicate the scenario information for a fact in the FR instance.,lnk,【集約シナリオ】,集約のシナリオの記述の指定場所。
